simulation,total_cost,build_cost,inservice_cost
457,3774420.3849355504,3618844.022026937,155576.36290861317
458,3499049.716635751,3367829.6955482853,131220.0210874664
459,3445834.6739182617,3298757.0117248585,147077.6621934028
460,5430294.765270399,5262299.200646872,167995.5646235263
461,4070914.307628629,3944478.2223275965,126436.08530103207
462,3539289.2346802093,3404093.336956804,135195.89772340536
463,4219854.949161388,4075725.0100085917,144129.93915279646
464,3894743.2176265074,3747921.5430685226,146821.6745579853
465,3941604.049465841,3805792.9805178014,135811.06894803976
466,4101441.897750659,3954508.8364269473,146933.0613237121
467,4621595.61837004,4453441.356500261,168154.26186977798
468,3546712.0036263424,3393226.8498087614,153485.1538175805
469,3776169.930275817,3623447.4398296443,152722.4904461725
470,3860597.264887905,3718924.7453637444,141672.51952416013
471,3015786.230277026,2899774.4506901153,116011.77958691113
472,3200796.3483293992,3071474.8237928227,129321.52453657695
473,4765484.734575046,4624839.212334069,140645.52224097744
474,5084745.032132367,4915983.771568958,168761.2605634096
475,3783847.949857206,3653493.140588323,130354.80926888279
476,4228323.367907831,4086616.5052096825,141706.86269814888
477,4320131.017252716,4152116.518718915,168014.49853380094
478,5892403.185676102,5708590.270535589,183812.91514051284
479,4697040.657870133,4540606.379866226,156434.27800390773
480,3962899.1868576724,3817469.685622221,145429.50123545103
481,3355631.8358175335,3226979.671804744,128652.16401278992
482,3396829.817994253,3275397.607481001,121432.21051325221
483,4290493.154589821,4136413.886921582,154079.26766823826
484,3751686.7368205595,3611301.199764062,140385.53705649648
485,3290538.2877101805,3167956.048398181,122582.23931199916
486,3684917.9604447745,3550502.6529458934,134415.30749888107
487,3521255.7154258834,3383053.5262024566,138202.18922342747
488,5095970.362368612,4944257.934679997,151712.42768861243
489,4393550.973483657,4239400.654486327,154150.3189973302
490,3967058.324059535,3821410.7517333613,145647.57232617357
491,5036577.360544872,4871233.782243254,165343.5783016185
492,4021153.898780455,3890160.5933382334,130993.30544222175
493,3401041.971472563,3280575.2785214307,120466.69295113227
494,5128694.428482611,4964369.145588514,164325.2828940947
495,4496424.257770481,4347159.8162910845,149264.44147939674
496,3061455.0942213265,2942861.1672595334,118593.92696179237
497,3821859.77029542,3685782.460227258,136077.31006816248
498,3375580.0309661147,3221318.165176993,154261.86578912166
499,3223516.313031649,3096314.4431457263,127201.8698859232
500,4760908.787809537,4600199.14600708,160709.64180245675
501,5541709.046059942,5357202.405712544,184506.64034739783
502,3288257.179195972,3152215.197543428,136041.98165254437
503,4326449.707557191,4175701.9391425876,150747.76841460352
504,3728654.331314972,3590544.801853045,138109.52946192754
505,3709644.075385931,3577072.2082598913,132571.86712603952
506,3518435.060113369,3393174.244012763,125260.81610060579
507,3385729.988957601,3254943.51425179,130786.47470581101
508,4297267.218683651,4150952.8631670824,146314.35551656788
509,3509006.325131719,3391048.8316163523,117957.49351536653
510,4161084.609923163,4028652.306323777,132432.3035993863
511,4303561.254675675,4160641.089707984,142920.1649676912
512,3763129.2001064825,3620479.6868767347,142649.51322974762
513,3264149.9079892794,3134201.851056729,129948.05693255141
514,3703819.6696995916,3566792.3800628684,137027.28963672297
515,4866631.556608444,4706483.002624078,160148.5539843663
516,4127843.6642158064,3982958.1428659633,144885.52134984243
517,3774326.185691778,3625218.12881712,149108.0568746581
518,3758441.5145945027,3625326.3461600062,133115.168434496
